kind,available_on,swing_date,value,candidate_index,bars_to_confirmation,threshold,wick_excursion,close_excursion,confirmation_price_mode_used,confirmation_path,structure_label,breaks_structure,reference_confirmed_value,confluence_count,confluence_short_hits,confluence_long_hits,multi_horizon_ok,confluence_windows,confluence_window_list,max_window,mean_window,level_scope,window_score,structure_bonus,label_bonus,level_score,level_priority,is_major_level,is_strategy_level
high,2024-07-25 23:59:59.999000+00:00,2024-07-21 23:59:59.999000+00:00,68351.2,1204,4,3129.964285714286,4894.5,2578.199999999997,wick_override,confluence,HH,True,63849.0,5,5,0,False,"1,3,7,10,30","[1, 3, 7, 10, 30]",30,10.2,structural,2,2,2.0,11,high,False,True
high,2024-08-15 23:59:59.999000+00:00,2024-08-08 23:59:59.999000+00:00,62737.2,1222,7,4935.839285714285,6768.199999999997,5226.199999999997,close,forced_maturity,LH,False,68351.2,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
high,2024-08-27 23:59:59.999000+00:00,2024-08-23 23:59:59.999000+00:00,65000.0,1237,4,3252.312500000001,7071.800000000003,5615.5,close,confluence,HH,True,62737.2,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,2,2.0,9,high,False,False
high,2024-09-30 23:59:59.999000+00:00,2024-09-27 23:59:59.999000+00:00,66450.0,1272,3,2514.0625000000005,3625.0,3140.9000000000015,close,confluence,HH,True,65000.0,5,5,0,False,"1,3,7,10,30","[1, 3, 7, 10, 30]",30,10.2,structural,2,2,2.0,11,high,False,True
high,2024-10-23 23:59:59.999000+00:00,2024-10-20 23:59:59.999000+00:00,69425.8,1295,3,2533.187499999999,4203.5,2778.600000000006,close,confluence,HH,True,66450.0,6,5,1,True,"1,3,7,10,30,90","[1, 3, 7, 10, 30, 90]",90,23.5,major,3,2,2.0,13,critical,True,True
high,2024-11-02 23:59:59.999000+00:00,2024-10-30 23:59:59.999000+00:00,72984.9,1305,3,2723.464285714287,3962.0999999999913,3618.2999999999884,close,confluence,HH,True,69425.8,9,5,4,True,"1,3,7,10,30,90,180,300,365","[1, 3, 7, 10, 30, 90, 180, 300, 365]",365,109.55555555555556,global,5,2,2.0,18,critical,True,True
high,2024-11-25 23:59:59.999000+00:00,2024-11-22 23:59:59.999000+00:00,99660.0,1328,3,4939.8660714285725,6994.0,6596.0,close,confluence,HH,True,72984.9,9,5,4,True,"1,3,7,10,30,90,180,300,365","[1, 3, 7, 10, 30, 90, 180, 300, 365]",365,109.55555555555556,global,5,2,2.0,18,critical,True,True
high,2024-12-09 23:59:59.999000+00:00,2024-12-05 23:59:59.999000+00:00,104630.4,1341,4,5454.839285714287,10590.699999999997,7281.299999999988,close,confluence,HH,True,99660.0,9,5,4,True,"1,3,7,10,30,90,180,300,365","[1, 3, 7, 10, 30, 90, 180, 300, 365]",365,109.55555555555556,global,5,2,2.0,18,critical,True,True
high,2024-12-20 23:59:59.999000+00:00,2024-12-17 23:59:59.999000+00:00,108366.8,1353,3,5477.982142857143,16094.199999999997,10602.400000000009,close,confluence,HH,True,104630.4,9,5,4,True,"1,3,7,10,30,90,180,300,365","[1, 3, 7, 10, 30, 90, 180, 300, 365]",365,109.55555555555556,global,5,2,2.0,18,critical,True,True
high,2025-01-02 23:59:59.999000+00:00,2024-12-26 23:59:59.999000+00:00,99950.0,1362,7,4531.544642857142,5592.600000000006,2982.5,wick_override,forced_maturity,LH,False,108366.8,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
high,2025-01-23 23:59:59.999000+00:00,2025-01-20 23:59:59.999000+00:00,110000.0,1387,3,5930.276785714284,8789.0,6135.899999999994,close,confluence,HH,True,99950.0,9,5,4,True,"1,3,7,10,30,90,180,300,365","[1, 3, 7, 10, 30, 90, 180, 300, 365]",365,109.55555555555556,global,5,2,2.0,18,critical,True,True
high,2025-02-28 23:59:59.999000+00:00,2025-02-21 23:59:59.999000+00:00,99431.5,1419,7,4397.348214285716,21231.300000000003,15131.899999999994,close,forced_maturity,LH,False,110000.0,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
high,2025-03-10 23:59:59.999000+00:00,2025-03-03 23:59:59.999000+00:00,94373.4,1429,7,7671.7410714285725,16963.29999999999,15805.599999999991,close,forced_maturity,LH,False,99431.5,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
high,2025-03-31 23:59:59.999000+00:00,2025-03-24 23:59:59.999000+00:00,88752.0,1450,7,3371.124999999999,7530.0,6234.5,close,forced_maturity,LH,False,94373.4,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
high,2025-05-05 23:59:59.999000+00:00,2025-05-02 23:59:59.999000+00:00,97865.4,1489,3,3162.4017857142867,4420.299999999988,3168.699999999997,close,confluence,HH,True,88752.0,5,5,0,False,"1,3,7,10,30","[1, 3, 7, 10, 30]",30,10.2,structural,2,2,2.0,11,high,False,True
high,2025-05-27 23:59:59.999000+00:00,2025-05-22 23:59:59.999000+00:00,111959.5,1509,5,3765.008928571429,4521.5,3070.199999999997,wick_override,confluence,HH,True,97865.4,9,5,4,True,"1,3,7,10,30,90,180,300,365","[1, 3, 7, 10, 30, 90, 180, 300, 365]",365,109.55555555555556,global,5,2,2.0,18,critical,True,True
