kind,available_on,swing_date,value,candidate_index,bars_to_confirmation,threshold,wick_excursion,close_excursion,confirmation_price_mode_used,confirmation_path,structure_label,breaks_structure,reference_confirmed_value,confluence_count,confluence_short_hits,confluence_long_hits,multi_horizon_ok,confluence_windows,confluence_window_list,max_window,mean_window,level_scope,window_score,structure_bonus,label_bonus,level_score,level_priority,is_major_level,is_strategy_level
low,2023-10-03 23:59:59.999000+00:00,2023-09-26 23:59:59.999000+00:00,26073.8,905,7,823.3839285714287,1591.2000000000007,1338.2000000000007,close,forced_maturity,HL,False,24888.0,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
low,2023-10-18 23:59:59.999000+00:00,2023-10-11 23:59:59.999000+00:00,26525.0,920,7,1042.4910714285716,2575.0,1782.0999999999985,close,forced_maturity,HL,False,26073.8,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
low,2023-11-06 23:59:59.999000+00:00,2023-10-27 23:59:59.999000+00:00,33350.0,936,10,1388.535714285715,1949.9000000000015,1707.4000000000015,close,forced_maturity,HL,False,26525.0,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
low,2023-11-21 23:59:59.999000+00:00,2023-11-14 23:59:59.999000+00:00,34446.3,954,7,1920.2499999999995,3228.699999999997,1290.699999999997,wick_override,forced_maturity,HL,False,33350.0,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
low,2023-12-18 23:59:59.999000+00:00,2023-12-11 23:59:59.999000+00:00,40228.3,981,7,2207.8482142857133,2567.0,2443.399999999994,close,forced_maturity,HL,False,34446.3,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
low,2024-01-10 23:59:59.999000+00:00,2024-01-03 23:59:59.999000+00:00,40333.0,1004,7,2851.9910714285725,7366.300000000003,6329.9000000000015,close,forced_maturity,EQL,False,40228.3,5,5,0,False,"1,3,7,10,30","[1, 3, 7, 10, 30]",30,10.2,structural,2,0,1.0,8,medium,False,True
low,2024-01-26 23:59:59.999000+00:00,2024-01-23 23:59:59.999000+00:00,38545.0,1024,3,1745.178571428572,3694.300000000003,3261.4000000000015,close,confluence,LL,True,40333.0,5,5,0,False,"1,3,7,10,30","[1, 3, 7, 10, 30]",30,10.2,structural,2,2,2.0,11,high,False,True
low,2024-03-01 23:59:59.999000+00:00,2024-02-23 23:59:59.999000+00:00,50512.7,1055,7,2904.3839285714294,12686.300000000003,11917.900000000001,close,forced_maturity,HL,False,38545.0,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
low,2024-03-27 23:59:59.999000+00:00,2024-03-20 23:59:59.999000+00:00,60800.0,1081,7,5718.089285714283,11088.0,8732.600000000006,close,forced_maturity,HL,False,50512.7,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
low,2024-04-09 23:59:59.999000+00:00,2024-04-02 23:59:59.999000+00:00,64603.2,1094,7,3578.9732142857147,7217.400000000009,4586.100000000006,close,forced_maturity,HL,False,60800.0,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
low,2024-04-20 23:59:59.999000+00:00,2024-04-17 23:59:59.999000+00:00,59625.0,1109,3,5075.589285714284,5775.0,5272.199999999997,close,confluence,LL,True,64603.2,5,5,0,False,"1,3,7,10,30","[1, 3, 7, 10, 30]",30,10.2,structural,2,2,2.0,11,high,False,True
low,2024-05-04 23:59:59.999000+00:00,2024-05-01 23:59:59.999000+00:00,56537.7,1123,3,3388.0089285714275,8010.200000000004,7326.5,close,confluence,LL,True,59625.0,5,5,0,False,"1,3,7,10,30","[1, 3, 7, 10, 30]",30,10.2,structural,2,2,2.0,11,high,False,True
low,2024-05-20 23:59:59.999000+00:00,2024-05-13 23:59:59.999000+00:00,60750.0,1135,7,3202.5982142857156,10924.600000000006,10716.5,close,forced_maturity,HL,False,56537.7,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
low,2024-06-03 23:59:59.999000+00:00,2024-05-24 23:59:59.999000+00:00,66639.0,1146,10,2678.4821428571404,3733.899999999994,2212.399999999994,wick_override,forced_maturity,HL,False,60750.0,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
low,2024-06-27 23:59:59.999000+00:00,2024-06-24 23:59:59.999000+00:00,58218.0,1177,3,2347.55357142857,4161.699999999997,3464.0,close,confluence,LL,True,66639.0,5,5,0,False,"1,3,7,10,30","[1, 3, 7, 10, 30]",30,10.2,structural,2,2,2.0,11,high,False,True
low,2024-07-12 23:59:59.999000+00:00,2024-07-08 23:59:59.999000+00:00,54243.1,1191,4,3163.544642857143,4256.9000000000015,3626.9000000000015,close,confluence,LL,True,58218.0,6,5,1,True,"1,3,7,10,30,90","[1, 3, 7, 10, 30, 90]",90,23.5,major,3,2,2.0,13,critical,True,True
low,2024-08-08 23:59:59.999000+00:00,2024-08-05 23:59:59.999000+00:00,48888.0,1219,3,4658.375,13849.199999999997,12771.800000000003,close,confluence,LL,True,54243.1,6,5,1,True,"1,3,7,10,30,90","[1, 3, 7, 10, 30, 90]",90,23.5,major,3,2,2.0,13,critical,True,True
low,2024-08-22 23:59:59.999000+00:00,2024-08-15 23:59:59.999000+00:00,55969.0,1229,7,3197.160714285714,5423.0,4380.9000000000015,close,forced_maturity,HL,False,48888.0,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
low,2024-09-09 23:59:59.999000+00:00,2024-09-06 23:59:59.999000+00:00,52510.8,1251,3,3261.4642857142862,5642.399999999994,4499.199999999997,close,confluence,LL,True,55969.0,5,5,0,False,"1,3,7,10,30","[1, 3, 7, 10, 30]",30,10.2,structural,2,2,2.0,11,high,False,True
low,2024-10-17 23:59:59.999000+00:00,2024-10-10 23:59:59.999000+00:00,58900.0,1285,7,2513.410714285713,9025.899999999994,8501.5,close,forced_maturity,HL,False,52510.8,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
low,2024-10-30 23:59:59.999000+00:00,2024-10-23 23:59:59.999000+00:00,65222.3,1298,7,2465.6696428571427,7762.599999999991,7126.699999999997,close,forced_maturity,HL,False,58900.0,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
low,2024-11-11 23:59:59.999000+00:00,2024-11-04 23:59:59.999000+00:00,66810.0,1310,7,4204.874999999999,22990.0,21918.899999999994,close,forced_maturity,HL,False,65222.3,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
low,2024-12-03 23:59:59.999000+00:00,2024-11-26 23:59:59.999000+00:00,90866.4,1332,7,4184.428571428573,5508.600000000006,5046.900000000009,close,forced_maturity,HL,False,66810.0,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
low,2024-12-16 23:59:59.999000+00:00,2024-12-09 23:59:59.999000+00:00,94039.7,1345,7,5881.0714285714275,13737.300000000003,11983.5,close,forced_maturity,HL,False,90866.4,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
low,2024-12-24 23:59:59.999000+00:00,2024-12-20 23:59:59.999000+00:00,92272.6,1356,4,5533.419642857141,7177.399999999994,6354.599999999991,close,confluence,LL,True,94039.7,5,5,0,False,"1,3,7,10,30","[1, 3, 7, 10, 30]",30,10.2,structural,2,2,2.0,11,high,False,True
low,2025-01-16 23:59:59.999000+00:00,2025-01-13 23:59:59.999000+00:00,88909.0,1380,3,4515.910714285711,11941.0,11028.399999999994,close,confluence,LL,True,92272.6,5,5,0,False,"1,3,7,10,30","[1, 3, 7, 10, 30]",30,10.2,structural,2,2,2.0,11,high,False,True
low,2025-02-10 23:59:59.999000+00:00,2025-02-03 23:59:59.999000+00:00,91130.3,1401,7,5153.53571428571,7197.699999999997,6248.899999999994,close,forced_maturity,HL,False,88909.0,5,5,0,False,"1,3,7,10,30","[1, 3, 7, 10, 30]",30,10.2,structural,2,0,1.0,8,medium,False,True
low,2025-03-03 23:59:59.999000+00:00,2025-02-28 23:59:59.999000+00:00,78200.2,1426,3,5982.482142857144,16173.199999999997,7992.5,close,confluence,LL,True,91130.3,6,5,1,True,"1,3,7,10,30,90","[1, 3, 7, 10, 30, 90]",90,23.5,major,3,2,2.0,13,critical,True,True
